tanggal,jam,srcip,jumlah_koneksi,jumlah_tujuan_unik,jumlah_port_unik,tcp,udp,total_data,average_datasize,dns,web,app,other,dns_ratio,web_ratio,app_ratio,other_ratio,destination_diversity,anomaly_score,is_anomaly
2026-07-20,14:00,192.168.2.158,10,5,2,3,7,8926,892.6,0,9,1,0,0.0,0.9,0.1,0.0,0.5,0.403048586143106,0
2026-07-20,14:00,192.168.2.163,303,34,6,42,261,55069,181.75,157,141,4,1,0.5182,0.4653,0.0132,0.0033,0.1122,0.4674702663654652,0
2026-07-20,14:00,192.168.2.165,5,1,1,5,0,220,44.0,0,5,0,0,0.0,1.0,0.0,0.0,0.2,0.38082389818329687,0
2026-07-20,14:00,192.168.2.180,3,1,1,0,3,528,176.0,0,0,3,0,0.0,0.0,1.0,0.0,0.3333,0.5113607303569332,0
2026-07-20,14:00,192.168.2.191,139,51,2,55,84,78821,567.06,13,126,0,0,0.0935,0.9065,0.0,0.0,0.3669,0.4082224766964599,0
2026-07-20,14:00,192.168.2.195,9,8,1,7,2,2926,325.11,0,9,0,0,0.0,1.0,0.0,0.0,0.8889,0.3977720381571867,0
2026-07-20,14:00,192.168.2.197,315,52,3,162,153,99303,315.25,0,310,5,0,0.0,0.9841,0.0159,0.0,0.1651,0.4284746639719169,0
2026-07-20,15:00,192.168.2.138,114,41,7,64,50,28931,253.78,14,95,5,0,0.1228,0.8333,0.0439,0.0,0.3596,0.38625145143563405,0
2026-07-20,15:00,192.168.2.139,312,65,4,164,148,73720,236.28,100,202,10,0,0.3205,0.6474,0.0321,0.0,0.2083,0.4393166505471113,0
2026-07-20,15:00,192.168.2.146,80,33,5,48,32,33081,413.51,5,72,3,0,0.0625,0.9,0.0375,0.0,0.4125,0.3712718244516019,0
2026-07-20,15:00,192.168.2.147,33,17,6,11,22,22037,667.79,3,26,4,0,0.0909,0.7879,0.1212,0.0,0.5152,0.4131663384581157,0
2026-07-20,15:00,192.168.2.150,118,22,4,89,29,17971,152.3,25,61,32,0,0.2119,0.5169,0.2712,0.0,0.1864,0.4257563571551402,0
2026-07-20,15:00,192.168.2.154,160,37,6,26,134,96281,601.76,21,57,80,2,0.1312,0.3562,0.5,0.0125,0.2312,0.49525266872069096,0
2026-07-20,15:00,192.168.2.158,76,25,3,40,36,42478,558.92,0,67,9,0,0.0,0.8816,0.1184,0.0,0.3289,0.38430180986450035,0
2026-07-20,15:00,192.168.2.163,301,37,5,52,249,47657,158.33,176,122,3,0,0.5847,0.4053,0.01,0.0,0.1229,0.4784370073296054,0
2026-07-20,15:00,192.168.2.165,3,1,1,3,0,132,44.0,0,3,0,0,0.0,1.0,0.0,0.0,0.3333,0.36432273272230004,0
2026-07-20,15:00,192.168.2.180,3,1,1,0,3,528,176.0,0,0,3,0,0.0,0.0,1.0,0.0,0.3333,0.5113607303569332,0
2026-07-20,15:00,192.168.2.187,73,30,6,51,22,24764,339.23,16,52,5,0,0.2192,0.7123,0.0685,0.0,0.411,0.38391811668324716,0
2026-07-20,15:00,192.168.2.191,212,60,9,112,100,70766,333.8,40,137,35,0,0.1887,0.6462,0.1651,0.0,0.283,0.4318448595802999,0
2026-07-20,15:00,192.168.2.195,4,3,2,2,2,2576,644.0,0,3,1,0,0.0,0.75,0.25,0.0,0.75,0.4258029652485978,0
2026-07-20,15:00,192.168.2.197,63,25,3,46,17,17360,275.56,4,59,0,0,0.0635,0.9365,0.0,0.0,0.3968,0.3724179372126776,0
2026-07-20,16:00,192.168.2.138,479,89,10,242,237,96743,201.97,25,438,9,7,0.0522,0.9144,0.0188,0.0146,0.1858,0.49163043069132994,0
2026-07-20,16:00,192.168.2.139,655,81,42,107,548,95104,145.2,66,223,7,359,0.1008,0.3405,0.0107,0.5481,0.1237,0.6539448443911378,1
2026-07-20,16:00,192.168.2.146,529,68,5,394,135,122777,232.09,12,514,3,0,0.0227,0.9716,0.0057,0.0,0.1285,0.48155806382561017,0
2026-07-20,16:00,192.168.2.147,86,34,4,21,65,45650,530.81,9,72,5,0,0.1047,0.8372,0.0581,0.0,0.3953,0.39031190316183856,0
2026-07-20,16:00,192.168.2.150,40,11,4,25,15,5680,142.0,12,18,10,0,0.3,0.45,0.25,0.0,0.275,0.4229053805742873,0
2026-07-20,16:00,192.168.2.158,16,11,2,11,5,6950,434.38,0,14,2,0,0.0,0.875,0.125,0.0,0.6875,0.38994756417112925,0
